continent,iso_country,iso_region,municipality,iata_code
NA,CA,CA-BC,108 Mile,ZMH
SA,BR,BR-TO,3 Marias,SB2
EU,DE,DE-NW,Aachen,AAH
EU,DK,DK-81,Aalborg,AAL
EU,DK,DK-82,Aarhus,AAR
NA,GL,GL-U-A,Aasiaat,JEG
AS,CN,CN-51,Aba,AHJ
AS,IR,IR-10,Abadan,ABD
OC,KI,KI-G,Abaiang,ABF
AS,RU,RU-KK,Abakan,ABA
OC,KI,KI-P,Abariringa,CIS
OC,PG,PG-CPM,Abau,ABW
EU,FR,FR-S,Abbeville,XAB
NA,CA,CA-BC,Abbotsford,YXX
AS,YE,YE-SN,Abbse,EAB
OC,KI,KI-G,Abemama Atoll,AEA
AF,CI,CI-05,Abengourou,OGO
NA,US,US-SD,Aberdeen,ABR
EU,GB,GB-SCT,Aberdeen,ABZ
NA,US,US-MD,Aberdeen Proving Grounds(Aberdeen),APG
AS,SA,SA-14,Abha,AHB
AF,CI,CI-01,Abidjan,ABJ
NA,US,US-TX,Abilene,ABI
NA,US,US-TX,Abilene,DYS
NA,US,US-VA,Abingdon,VJI
OC,VU,VU-TOB,Ablow,MTV
AF,CI,CI-13,Aboisso,ABO
AF,TD,TD-SA,Abou-Deïa,AOD
NA,MX,MX-BCS,Abreojos,AJS
AS,AE,AE-AZ,Abu Dhabi,AUH
AS,AE,AE-AZ,Abu Dhabi,AYM
AS,EG,EG-JS,Abu Rudeis,AUE
AF,EG,EG-ASN,Abu Simbel,ABS
AF,NG,NG-FC,Abuja,ABV
SA,CO,CO-CHO,Acandí,ACD
NA,MX,MX-GRO,Acapulco,ACA
SA,CO,CO-VAU,Acaricuara,ARF
SA,VE,VE-P,Acarigua,AGV
AF,GH,GH-AA,Accra,ACC
AS,RU,RU-KYA,Achinsk,ACS
NA,PA,PA-5,Achutupo,ACU
AF,SD,SD-24,Ad Damazin,RSS
AS,SA,SA-04,Ad Dammam,DMM
NA,US,US-OK,Ada,ADT
AF,SO,SO-GA,Adado,AAD
NA,US,US-AK,Adak Island,ADK
AS,OM,OM-DA,Adam,AOM
AS,TR,TR-01,Adana,ADA
AS,TR,TR-01,Adana,UAB
AF,ET,ET-AA,Addis Ababa,ADD
OC,AU,AU-SA,Adelaide,ADL
AS,YE,YE-AD,Aden,ADE
AS,TR,TR-02,Adıyaman,ADF
NA,US,US-MI,Adrian,ADG
NA,US,US-WY,Afton,AFO
NA,US,US-OK,Afton,NRI
AS,TR,TR-03,Afyonkarahisar,AFY
AF,NE,NE-1,Agadez,AJY
AF,MA,MA-AGD,Agadir,AGA
AS,IN,IN-TR,Agartala,IXA
EU,FR,FR-B,Agen/La Garenne,AGF
OC,PG,PG-CPM,Agevairu,AOA
AF,ZA,ZA-NC,Aggeneys,AGZ
AS,IR,IR-10,Aghajari,AKW
OC,AU,AU-QLD,Agnew,AGW
EU,GR,GR-01,Agrinion,AGQ
SA,CO,CO-CAS,Aguaclara,ACL
NA,PR,PR-U-A,Aguadilla,BQN
NA,MX,MX-AGU,Aguascalientes,AGU
AS,JP,JP-47,Aguni,AGJ
OC,PF,PF-U-A,Ahe Atoll,AHE
AS,KW,KW-AH,Ahmed Al Jaber AB,XIJ
AS,IN,IN-GJ,Ahmedabad,AMD
NA,HN,HN-GD,Ahuas,AHS
AS,IR,IR-10,Ahwaz,AWZ
AF,NA,NA-KU,Ai-Ais,AIW
OC,PG,PG-WPD,Aiambak,AIH
NA,US,US-SC,Aiken,AIK
OC,MH,MH-ALL,Ailinglapalap Atoll,JAT
OC,MH,MH-ALL,Ailinglapalap Atoll,JEJ
OC,MH,MH-ALK,Ailuk Island,AIM
AS,KZ,KZ-ALM,Aima Ata,BXJ
NA,US,US-NE,Ainsworth,ANW
OC,PG,PG-MPM,Aiome,AIE
AF,MR,MR-02,Aioun El Atrouss,AEO
OC,AU,AU-QLD,Airlie Beach,WSY
SA,GY,GY-UT,Aishalton,AHL
OC,PG,PG-SAN,Aitape,ATP
OC,PG,PG-SAN,Aitape,TAJ
OC,CK,CK-U-A,Aitutaki,AIT
OC,PG,PG-EHG,Aiyura Valley,AYU
AS,IN,IN-MZ,Aizawl,AJL
EU,FR,FR-H,Ajaccio/Napoléon Bonaparte,AJA
NA,US,US-AK,Akhiok,AKK
NA,US,US-AK,Akiachak,KKI
NA,US,US-AK,Akiak,AKI
AF,GA,GA-2,Akieni,AKE
AS,JP,JP-05,Akita,AXT
AF,MR,MR-12,Akjoujt,AJJ
NA,CA,CA-NT,Aklavik,LAK
NA,US,US-OH,Akron,AKC
NA,US,US-CO,Akron,AKO
NA,US,US-OH,Akron,CAK
EU,GB,GB-U-A,Akrotiri,AKT
AS,CN,CN-65,Aksu,AKU
AS,KZ,KZ-MAN,Aktau,SCO
AS,KZ,KZ-AKT,Aktyuinsk,AKX
NA,CA,CA-QC,Akulivik,AKV
AF,NG,NG-ON,Akure,AKR
EU,IS,IS-6,Akureyri,AEY
NA,US,US-AK,Akutan,KQA
AS,AE,AE-AZ,Al Ain,AAN
AF,LY,LY-JA,Al Bayda',LAQ
AS,IQ,IQ-AN,Al Habbaniyah,TQD
AF,MA,MA-HOC,Al Hoceima,AHU
AS,OM,OM-BA,Al Masna'ah,MNH
AS,SY,SY-DY,Al Thaurah,SOR
AS,SA,SA-03,Al Ula,ULH
AS,SA,SA-07,Al Wajh,EJH
AS,YE,YE-BA,Al-Bayda,BYD
AS,YE,YE-SD,Al-Bough,BUK
AS,SA,SA-12,Al-Jawf,AJF
AF,SD,SD-09,Al-Ubayyid,EBD
SA,BR,BR-BA,Alagoinhas,QGS
EU,ES,ES-CN,"Alajero, La Gomera Island",GMZ
NA,US,US-AK,Alakanuk,AUK
NA,US,US-CA,Alameda,NGZ
NA,US,US-NM,Alamogordo,ALM
NA,US,US-NM,Alamogordo,HMN
NA,MX,MX-SON,Álamos,XAL
NA,US,US-CO,Alamosa,ALS
EU,ES,ES-PV,Alava,VIT
EU,ES,ES-CM,Albacete,ABC
NA,US,US-GA,Albany,ABY
NA,US,US-NY,Albany,ALB
OC,AU,AU-WA,Albany,ALH
EU,IT,IT-42,Albenga (SV),ALL
NA,US,US-MN,Albert Lea,AEL
EU,FR,FR-S,Albert/Bray,BYF
EU,FR,FR-N,Albi/Le Séquestre,LBI
NA,CA,CA-AB,Albian Village,JHL
SA,SR,SR-MA,Albina,ABN
NA,PA,PA-8,Albrook,PAC
NA,US,US-NM,Albuquerque,ABQ
OC,AU,AU-NSW,Albury,ABX
AS,RU,RU-SA,Aldan,ADH
SA,BR,BR-RS,Alegrete,ALQ
NA,US,US-AK,Aleknagik,WKK
SA,BR,BR-PA,Alenquer,ALT
AS,SY,SY-HL,Aleppo,ALP
NA,CA,CA-NU,Alert,YLT
NA,CA,CA-BC,Alert Bay,YAL
EU,NO,NO-15,Ålesund,AES
AF,ZA,ZA-NC,Alexander Bay,ALJ
NA,US,US-AL,Alexander City,ALX
OC,NZ,NZ-OTA,Alexandra,ALR
NA,US,US-LA,Alexandria,AEX
AF,EG,EG-ALX,Alexandria,ALY
NA,US,US-MN,Alexandria,AXN
NA,US,US-LA,Alexandria,ESF
AF,EG,EG-ALX,Alexandria,HBE
NA,US,US-NY,Alexandria Bay,AXB
EU,GR,GR-71,Alexandroupolis,AXD
EU,ES,ES-CA,Algeciras,AEI
EU,IT,IT-88,Alghero,AHO
AF,DZ,DZ-35,Algiers,ALG
NA,US,US-IA,Algona,AXG
AF,DJ,DJ-AS,Ali-Sabieh,AII
EU,ES,ES-V,Alicante,ALC
NA,US,US-TX,Alice,ALI
OC,AU,AU-NT,Alice Springs,ASP
NA,US,US-AL,Aliceville,AIV
AS,IN,IN-UP,Allahabad,IXD
NA,US,US-AK,Allakaket,AET
AF,ZA,ZA-NP,Alldays,ADY
NA,US,US-PA,Allentown,ABE
NA,US,US-NE,Alliance,AIA
NA,PA,PA-KY,Alligandi,AIL
NA,GL,GL-U-A,Alluitsup Paa,LLU
NA,US,US-MI,Alma,AMN
NA,CA,CA-QC,Alma,YTF
AS,KZ,KZ-ALM,Almaty,ALA
SA,BR,BR-PA,Almeirim,MEU
SA,BR,BR-MG,Almenara,AMJ
EU,ES,ES-AN,Almería,LEI
OC,NU,NU-U-A,Alofi,IUE
AS,ID,ID-NT,Alor Island,ARD
AS,MY,MY-02,Alor Satar,AOR
NA,US,US-MI,Alpena,APN
OC,AU,AU-QLD,Alpha,ABH
NA,US,US-TX,Alpine,ALE
OC,AU,AU-NT,Alpurrurulam,LNH
OC,AU,AU-NT,Alroy Downs,AYD
EU,NO,NO-18,Alstahaug,SSJ
EU,NO,NO-20,Alta,ALF
SA,BR,BR-MT,Alta Floresta,AFL
AS,MN,MN-065,Altai,LTI
SA,BR,BR-PA,Altamira,ATM
AS,CN,CN-65,Altay,AAT
EU,DE,DE-TH,Altenburg,AOC
EU,CH,CH-SG,Altenrhein,ACH
AS,TR,TR-43,Altıntaş,KZR
SA,BR,BR-MT,Alto Boa Vista,SWM
AF,MZ,MZ-Q,Alto Molocue,AME
SA,CL,CL-LL,Alto Palena,WAP
SA,BR,BR-MA,Alto Parnaíba,APY
SA,AR,AR-U,Alto Rio Senguerr,ARR
NA,US,US-IL,Alton/St Louis,ALN
NA,US,US-PA,Altoona,AOO
NA,US,US-OK,Altus,AXS
NA,US,US-OK,Altus,LTS
AF,SO,SO-BR,Alula,ALU
AF,TD,TD-SA,Am Timan,AMC
AS,ID,ID-MA,Amahai-Seram Island,AHI
SA,CO,CO-ANT,Amalfi,AFI
AS,JP,JP-46,Amami,ASJ
OC,PG,PG-SAN,Amanab,AMU
NA,US,US-NV,Amargosa Valley,LTH
NA,US,US-TX,Amarillo,AMA
NA,US,US-TX,Amarillo,TDW
AS,TR,TR-05,Amasya,MZH
SA,EC,EC-T,Ambato,ATF
AF,MG,MG-U,Ambatolahy,AHY
AF,MG,MG-A,Ambatondrazaka,WAM
NA,US,US-AK,Ambler,ABL
OC,PG,PG-ESW,Amboin,KRJ
AS,ID,ID-MA,Ambon,AMQ
AF,KE,KE-700,Amboseli National Park,ASV
AF,AO,AO-BGO,Ambriz,AZZ
OC,VU,VU-MAP,Ambryn Island,ULB
OC,PG,PG-ESW,Ambunti,AUJ
NA,US,US-AK,Amchitka Island,AHT
NA,US,US-AK,Amchitka Island,AHT
AS,RU,RU-NEN,Amderma,AMV
AF,DZ,DZ-33,Aménas,IAM
OC,AU,AU-SA,American River,RCN
NA,US,US-WI,Amery,AHH
NA,US,US-IA,Ames,AMW
AS,ID,ID-PA,Amgotro,RUF
NA,US,US-NY,Amityville,AYZ
AS,JO,JO-AM,Amman,ADJ
AS,JO,JO-AM,Amman,AMM
AS,IR,IR-21,Amol,BSM
NA,US,US-AK,Amook Bay,AOS
NA,CA,CA-QC,Amos,YEY
AF,MG,MG-U,Ampanihy,AMP
AS,LK,LK-5,Ampara,ADP
AS,LK,LK-5,Ampara,AFK
AS,IN,IN-PB,Amritsar,ATQ
EU,NL,NL-NH,Amsterdam,AMS
SA,VE,VE-B,Anaco,AAO
NA,US,US-WA,Anacortes,OTS
AS,RU,RU-CHU,Anadyr,DYR
NA,CA,CA-BC,Anahim Lake,YAA
NA,US,US-AK,Anaktuvuk Pass,AKP
EU,RU,RU-KDA,Anapa,AAQ
SA,BR,BR-GO,Anápolis,APS
OC,VU,VU-TAE,Anatom Island,AUY
NA,US,US-AK,Anchorage,ANC
NA,US,US-AK,Anchorage,EDF
NA,US,US-AK,Anchorage,MRI
EU,IT,IT-57,Ancona,AOI
SA,CL,CL-LL,Ancud,ZUD
SA,PE,PE-APU,Andahuaylas,ANS
AF,MG,MG-U,Andavadoaka,DVD
OC,PG,PG-EHG,Andekombe,ADC
EU,NO,NO-18,Andenes,ANX
OC,GU,GU-U-A,"Andersen, Mariana Island",UAM
NA,US,US-IN,Anderson,AID
NA,US,US-SC,Anderson,AND
SA,CO,CO-ANT,Andes,ADN
AS,UZ,UZ-AN,Andizhan,AZN
SA,PE,PE-LOR,Andoas,AOP
EU,AD,AD-07,Andorra La Vella,ALV
EU,GR,GR-14,Andravida,PYR
NA,US,US-SC,Andrews,ADR
AF,MG,MG-M,Andriamena,WAD
NA,BS,BS-KB,Andros,COX
NA,BS,BS-NB,Andros Island,SAQ
NA,VG,VG-U-A,Anegada,NGD
OC,TO,TO-03,"Angaha, Niuafo'ou Island",NFO
NA,US,US-NM,Angel Fire,AXX
AS,PH,PH-PAM,Angeles City,CRK
EU,SE,SE-M,Ängelholm,AGH
EU,GB,GB-WLS,Angelsey,VLY
EU,FR,FR-R,Angers/Marcé,ANE
AS,ID,ID-PB,Anggi-Papua Island,AGD
NA,US,US-TX,Angleton/Lake Jackson,LJN
NA,CA,CA-ON,Angling Lake,YAX
AF,MZ,MZ-N,Angoche,ANO
NA,US,US-IN,Angola,ANQ
NA,US,US-AK,Angoon,AGN
OC,PG,PG-ESW,Angoram,AGG
EU,FR,FR-T,Angoulême/Brie/Champniers,ANG
OC,PG,PG-SAN,Anguganak,AKG
OC,AU,AU-NT,Angus Downs Station,ANZ
OC,SB,SB-CE,Anhua Island,ANH
NA,US,US-AK,Aniak,ANI
OC,VU,VU-TAE,Aniwa,AWD
OC,AU,AU-WA,Anjo Peninsula,TTX
AS,CN,CN-61,Ankang,AKA
AS,TR,TR-06,Ankara,ANK
AS,TR,TR-06,Ankara,ESB
AF,MG,MG-U,Ankavandra,JVA
AF,MG,MG-U,Ankazoabo,WAK
NA,US,US-MI,Ann Arbor,ARB
AF,DZ,DZ-36,Annaba,AAE
SA,GY,GY-UT,Annai,NAI
NA,US,US-MD,Annapolis,ANP
EU,FR,FR-V,Annecy/Meythet,NCY
EU,FR,FR-V,Annemasse,QNJ
NA,US,US-AK,Annette,ANN
NA,US,US-AL,Anniston,ANB
AS,CN,CN-34,Anqing,AQG
AS,CN,CN-21,Anshan,AOG
AS,CN,CN-U-A,Anshun,AVA
SA,PE,PE-ANC,Anta,ATA
AS,TR,TR-07,Antalya,AYT
AF,MG,MG-T,Antananarivo,TNR
NA,US,US-KS,Anthony,ANY
NA,US,US-OK,Antlers,ATE
SA,CL,CL-AN,Antofagasta,ANF
AF,MG,MG-M,Antsalova,WAQ
AF,MG,MG-T,Antsirabe,ATJ
AF,MG,MG-M,Antsohihy,WAI
EU,BE,BE-VAN,Antwerp,ANR
OC,SB,SB-RB,Anua,BNY
AS,LK,LK-7,Anuradhapura,ACJ
NA,US,US-AK,Anvik,ANV
AS,CN,CN-41,Anyang,AYN
AS,JP,JP-02,Aomori,AOJ
EU,IT,IT-23,Aosta,AOT
NA,US,US-FL,Apalachicola,AAF
AS,ID,ID-PA,Apalapsili,AAS
OC,PF,PF-U-A,Apataki,APK
EU,RU,RU-MUR,Apatity,KVK
